school_year,district,school,director,piece_slot,raw_string,parsed_title,parsed_composer,parsed_arranger,pdf_grade,confidence
2011-2012,30,James Rickards High School Symphonic Band,Quincy D. Griffin,1,Purple Carnival March Harry L. Alford,Purple Carnival March Harry L. Alford,,,,LOW
2011-2012,30,Flagler Palm Coast High School Symphonic Band,"John Seth, Susan Morden",1,The Free Lance John Philip Sousa/Keith Brion & Loras Schissel,The Free Lance John Philip Sousa,,Keith Brion & Loras Schissel,,LOW
2012-2013,1,Crestview Senior High School Concert Band,Charley Andersen,1,Coast Guards King/Swearingen,Coast Guards King,,Swearingen,,LOW
2012-2013,1,Gulf Breeze High School Symphonic Band,Neal A. McLeod,1,The Circus Bee Henry Fillmore,The Circus Bee Henry Fillmore,,,,LOW
2012-2013,4,F. W. Buchholz High School Wind Symphony,Alexander Kaminsky,1,The Gum-Suckers March Grainger/Rogers,The Gum-Suckers March Grainger,,Rogers,,LOW
2012-2013,4,Howard W. Bishop Middle School Concert Band MD,Amy Beres,1,Barnum & Bailey's Favorite Karl King/ Milford,Barnum & Bailey's Favorite Karl King,,Milford,,LOW
2012-2013,5,Sunlake High School Concert Band,Tonya O'Malley,1,The High School Cadets John Philip Sousa Arr. Robert E. Foster,The High School Cadets John Philip Sousa,,Robert E. Foster,,LOW
2012-2013,5,J. W. Mitchell High School Symphonic Band,Joel Quina,1,Coast Guards King/Swearingen,Coast Guards King,,Swearingen,,LOW
2012-2013,6,Lake Howell High School Symphonic Band,Trey Harris,1,Coast Guards Karl King,Coast Guards Karl King,,,,LOW
2012-2013,6,University High School (Volusia) Symphonic Band,David Martin,1,Algeria K.L. King,Algeria K.L. King,,,,LOW
2012-2013,6,Pine Ridge High School Concert Band,Paul Robinson,1,Coast Guards March Karl King/ Arr. Swearingen,Coast Guards March Karl King,,Swearingen,,LOW
2012-2013,6,Jackson Heights Middle School Symphonic Band MC,JEREMY WILLIAMSON,1,CROWN OF CASTILE VINSON,CROWN OF CASTILE VINSON,,,,LOW
2012-2013,6,Ormond Beach Middle School Symphonic Band MC,R. William Guthrie,1,Bavarian Trails Joseph Compello,Bavarian Trails Joseph Compello,,,,LOW
2012-2013,7,Joe E. Newsome High School Symphonic Band,Cynthia Burchfield,1,To The Colors Ronald C. Knoener,To The Colors Ronald C. Knoener,,,,LOW
2012-2013,7,King Senior High School Symphonic Band,Dakeyan C. Graham,1,Genius Larry Clark,Genius Larry Clark,,,,LOW
2012-2013,7,Howard W. Blake High School Wind Ensemble,Dan DuBay,1,The Pathfinder of Panama Sousa,The Pathfinder of Panama Sousa,,,,LOW
2012-2013,7,Gaither High School Symphonic Band,Brian P. Dell,1,Coast Guards King,Coast Guards King,,,,LOW
2012-2013,8,Lake Nona High School Symphonic Band,Rob Connelly,1,Belle of Chicago Sousa/Gore,Belle of Chicago Sousa,,Gore,,LOW
2012-2013,8,Freedom High School (Orange) Wind Ensemble,Franklin Jennings,1,George Washington Bicentennial John Philip Sousa,George Washington Bicentennial John Philip Sousa,,,,LOW
2012-2013,8,Winter Park High School Concert Band,Francis Franqui and Jeffrey Willis,1,Washington Post John Phillip Sousa,Washington Post John Phillip Sousa,,,,LOW
2012-2013,8,Bridgewater Middle School Symphonic Band (Band 3) MD,Michael Antmann and Charlene Cannon,1,Infinity Curnow,Infinity Curnow,,,,LOW
2012-2013,8,College Park Middle School Symphonic Band MC,Michael Himes,2,"Stars Asleep, The Break of Day, The Margolis","The Stars Asleep Break of Day, The Margolis",,,1,LOW
2012-2013,9,Joseph L. Carwise Middle School Symphonic Band MD,Jason Obara,1,Dark Crusader Josuweit,Dark Crusader Josuweit,,,,LOW
2012-2013,10,Holy Trinity Episcopal Academy Wind Symphony,Jim McCarl,1,The High School Cadets John Philip Sousa / Arr. Robert E. Foster,The High School Cadets John Philip Sousa,,Robert E. Foster,,LOW
2012-2013,10,Eau Gallie High School Symphonic Band,Thomas Singletary,1,Washington Post Sousa/Fennell,Washington Post Sousa,,Fennell,,LOW
2012-2013,10,Heritage High School Symphonic Band,Edward Dunne,1,Coast Guards King/Swearingen,Coast Guards King,,Swearingen,,LOW
2012-2013,11,Sarasota High School Wind Ensemble,John Roseboom,1,Crosley Fillmore,Crosley Fillmore,,,,LOW
2012-2013,11,Heron Creek Middle School Concert Band II MD,Chris Owens,1,American Spirit Higgins,American Spirit Higgins,,,,LOW
2012-2013,12,Bartow Senior High School Symphonic Band,"Mindi Mulligan, Jon Eckman",1,Orange Bowl Fillmore/Foster,Orange Bowl Fillmore,,Foster,,LOW
2012-2013,12,Lake Gibson Middle School Symphonic Band MC,Michael McElwain,1,Project Bennett/Clark,Project Bennett,,Clark,,LOW
2012-2013,12,Lakeland Christian School Middle School Concert Band MC,"Kathy Johnson, Chuck Fulton",1,A March on a Kings' Highway Pierre LaPlante,A March on a Kings' Highway Pierre LaPlante,,,,LOW
2012-2013,13,Vero Beach High School Symphony Band,"James Sammons & Colbert P. Howell, Jr.",1,The Circus Bee Henry Fillmore,The Circus Bee Henry Fillmore,,,,LOW
2012-2013,13,Vero Beach High School Symphonic Band,"James Sammons and Colbert Howell, Jr.",1,Coast Guards March Karl King,Coast Guards March Karl King,,,,LOW
2012-2013,13,Martin County High School Concert Band,Simon M. Holoweiko,1,The Band Director's March Paul Yoder,The Band Director's March Paul Yoder,,,,LOW
2012-2013,13,Sebastian River High School Symphonic Winds,Sara DiPardo,1,Monterey King,Monterey King,,,,LOW
2012-2013,13,Lincoln Park Academy Concert Band MC,Steven Dean/Jason Albert,1,Success Larry Clark,Success Larry Clark,,,,LOW
2012-2013,14,West Boca Raton Community High School Wind Ensemble,Larry Shane,1,"Black Horse Troop, The J. P. Sousa",The Black Horse Troop J. P. Sousa,,,,LOW
2012-2013,14,Atlantic Community High School Symphonic Band,Mr. Kristopher L. Ferranti,1,Coast Guards March King arr. Swearingen,Coast Guards March King,,Swearingen,,LOW
2012-2013,14,New World School of the Arts New World School of the Arts Wind Ensemble,Brent A. Mounger,1,"""Barnum & Bailey's Favorite"" March Karl L. King/Schissel","""Barnum & Bailey's Favorite"" March Karl L. King",,Schissel,,LOW
2012-2013,15,Blanche Ely High School Symphonic Band,Richard Beckford,1,Marche Brilliante William P. Foster,Marche Brilliante William P. Foster,,,,LOW
2012-2013,15,Cooper City High School Wind Ensemble,Christopher J. Schletter,1,The Fairest of the Fair Sousa,The Fairest of the Fair Sousa,,,,LOW
2012-2013,15,Sawgrass Springs Middle School Band MC,Ron Helm,1,"Genius Bennett, arr. Clark",Genius Bennett,,Clark,,LOW
2012-2013,15,Lyons Creek Middle School Advanced Band MB,James Hammond,1,New South Wales Edmondson,New South Wales Edmondson,,,,LOW
2012-2013,16,Miami Central Senior High School rocket symphonia,john mcminn,1,Washington Post John Philip Sousa,Washington Post John Philip Sousa,,,,LOW
2012-2013,16,Felix Varela Senior High School Wind Ensemble,Dr. Sam Lussier,1,Florentiner Fucik,Florentiner Fucik,,,,LOW
2012-2013,16,Hammocks Middle School Symphonic Band MC,Steve Kirkland,1,Manila Bay Karl King,Manila Bay Karl King,,,,LOW
2012-2013,17,Samuel Wolfson School for Advanced Studies Concert Band,Cristina Ledford,1,Coast Guards March King/Swearingen,Coast Guards March King,,Swearingen,,LOW
2012-2013,17,Fernandina Beach High School FBHS Symphonic Band,Johnnie Robinson,1,Crosley March Filmore/Foster,Crosley March Filmore,,Foster,,LOW
2012-2013,17,Hilliard Middle/Senior High School Wind Ensemble,Jamie Mock,1,Washington Post Sousa/Osterling,Washington Post Sousa,,Osterling,,LOW
2012-2013,17,Landmark Middle School Symphonic Band MC,Kevin Brown,1,Infinity James Curnow,Infinity James Curnow,,,,LOW
2012-2013,17,KIPP Impact Middle School 6th Grade Band MD,Moses Evans,1,Majestic March Paul Lavender,Majestic March Paul Lavender,,,,LOW
2012-2013,17,Fernandina Beach Middle School FBMS Symphonic Band MC,Johnnie Robinson,1,Crosswinds Swearingen,Crosswinds Swearingen,,,,LOW
2012-2013,18,Ida S. Baker High School Symphonic Band,Justin Goff,1,Brandenburg March Vinson,Brandenburg March Vinson,,,,LOW
2012-2013,18,Immokalee Middle School IMS Symphonic Band MC,Philip Barton,1,Genius Harnold Bennett,Genius Harnold Bennett,,,,LOW
2012-2013,18,North Naples Middle School Advanced Band MC,Stephen H. Lauster,1,Le Sabre Eric Osterling,Le Sabre Eric Osterling,,,,LOW
2012-2013,20,Florida Christian School 8th grade band MC,Mr. Timothy Miner,1,Screaming Eagles John Edmondson,Screaming Eagles John Edmondson,,,,LOW
2012-2013,21,Clay High School Symphonic Band,Jim Beck,1,Charter Oak Eric Osterling,Charter Oak Eric Osterling,,,,LOW
2012-2013,21,Bradford Middle School Concert Band MC,Cody Tempest,1,Festive March Sebesky,Festive March Sebesky,,,,LOW
2012-2013,30,F. W. Buchholz High School Wind Symphony,Alexander Kaminsky,1,The Gum-Suckers March Grainger/Rogers,The Gum-Suckers March Grainger,,Rogers,,LOW
2012-2013,30,Crestview Senior High School Concert Band,Charley Andersen,1,Coast Guards King/Swearingen,Coast Guards King,,Swearingen,,LOW
2012-2013,30,"American Heritage Schools, Broward Campus (HS) Wind Ensemble",Kimberly Imerbsin,1,Florentiner Fucik,Florentiner Fucik,,,,LOW
2012-2013,30,Vero Beach High School Symphonic Band,"James Sammons and Colbert Howell, Jr.",1,Coast Guards March Karl King,Coast Guards March Karl King,,,,LOW
2012-2013,30,Vero Beach High School Symphony Band,"James Sammons & Colbert P. Howell, Jr.",1,The Circus Bee Henry Fillmore,The Circus Bee Henry Fillmore,,,,LOW
2013-2014,1,Pensacola High School Symphonic Band,Armand Navarro,1,Vongrrrharts 613th Regimental March David Holsinger,Vongrrrharts 613th Regimental March David Holsinger,,,,LOW
2013-2014,1,West Florida High School Symphonic Band,Peter Krostag and Tim Jackson,1,Coast Guards March King,Coast Guards March King,,,,LOW
2013-2014,1,Niceville Senior High School Concert Band,Patrick Carnahan,1,Coast Guards Karl King/Arr. Swearingen,Coast Guards Karl King,,Swearingen,,LOW
2013-2014,1,Escambia High School Concert Band,Dustin Hicklen,1,Coast Guards King/Swearingen,Coast Guards King,,Swearingen,,LOW
2013-2014,1,Crestview Senior High School Wind Ensemble,Jody Dunn,1,"The ""Gum Suckers"" March SGrainger","The ""Gum Suckers"" March SGrainger",,,,LOW
2013-2014,1,Thomas Sims Middle School Symphonic Band MC,William Shaner,1,Welcome Bennet,Welcome Bennet,,,,LOW
2013-2014,2,Mowat Middle School Concert Band MC,Mrs. Michelle Birdwell,1,Welcome Bennett/Clark,Welcome Bennett,,Clark,,LOW
2013-2014,3,William J Montford III Middle School Symphonic Band MC,Holly Kennedy,1,New South Wales John Edmondson,New South Wales John Edmondson,,,,LOW
2013-2014,5,Land O' Lakes High School Concert Band,Lauren Yacht,1,Coast Guards March Karl King,Coast Guards March Karl King,,,,LOW
2013-2014,5,Powell Middle School Symphonic Band MC,Ross McCarthy,1,Improvement Larry Clark,Improvement Larry Clark,,,,LOW
2013-2014,6,Holly Hill Middle School Holly Hill Middle School Concert Band JC,Brent Clowers,1,Mixolydian March Robert Sheldon,Mixolydian March Robert Sheldon,,,,LOW
2013-2014,6,Southwestern Middle School Advanced Band MC,Joseph Powell,1,A March on the Kings Highway Pierre La Plante,A March on the Kings Highway Pierre La Plante,,,,LOW
2013-2014,7,Orange Grove Middle School of the Arts Concert Band MC,Alexander Eugene Crenshaw,1,Homecoming Joseph Compello,Homecoming Joseph Compello,,,,LOW
2013-2014,7,Sergeant Paul R. Smith Middle School SSMS Symphonic Band MC,Cyn Starling,1,Infinity Curnow,Infinity Curnow,,,,LOW
2013-2014,7,Garland V. Stewart Middle School Concert Band MC,Rebekkah Norton,1,Infinity Curnow,Infinity Curnow,,,,LOW
2013-2014,8,Freedom High School (Orange) Symphonic Band,Franklin Jennings & Christina Torrez,1,Lafayette Escadrille John Edmondson,Lafayette Escadrille John Edmondson,,,,LOW
2013-2014,9,Northeast High School (Pinellas) Scarlet Winds,Cliff Dawson,1,Coast Guards Karl L. King,Coast Guards Karl L. King,,,,LOW
2013-2014,9,Largo High School Band of Gold,Christopher Benoit,1,The Fairest of the Fair Sousa/Fennell,The Fairest of the Fair Sousa,,Fennell,,LOW
2013-2014,9,Lakewood High School Wind Ensemble,Michael Kernodle,1,The High School Cadets John Phillip Sousa,The High School Cadets John Phillip Sousa,,,,LOW
2013-2014,10,Astronaut High School Wind Ensemble,David Ammerman,1,The Fairest of the Fair JP Sousa/Frederick Fennell,The Fairest of the Fair JP Sousa,,Frederick Fennell,,LOW
2013-2014,10,Merritt Island High School Symphonic Band,Jimmy Higginbotham,1,The Fairest Of The Fair John Philip Sousa,The Fairest Of The Fair John Philip Sousa,,,,LOW
2013-2014,10,Bayside High School Symphonic Band,Jessica Davoli,1,Dorchester Osterling,Dorchester Osterling,,,,LOW
2013-2014,10,Thomas Jefferson Middle School (Merritt Island) Symphonic Band MC,Laurie S. Broadway,1,New South Wales John Edmondson,New South Wales John Edmondson,,,,LOW
2013-2014,10,Andrew Jackson Middle School Honor Band MD,Jim Matthews,1,Dover Patrol Douglas Wagner,Dover Patrol Douglas Wagner,,,,LOW
2013-2014,10,St. Cloud High School Wind Ensemble,M. Edward Nagel,1,True Blue King,True Blue King,,,,LOW
2013-2014,11,Braden River High School Wind Ensemble,Kendall Carrier,1,American's We Fillmore,American's We Fillmore,,,,LOW
2013-2014,12,Haines City Senior High School Concert Band,Joshua Nelson,1,Dorchester Eric Osterling,Dorchester Eric Osterling,,,,LOW
2013-2014,13,Stuart Middle School Concert Band MD,Christopher Kalwa,1,Celebrity Larry Clark,Celebrity Larry Clark,,,,LOW
2013-2014,14,Christa McAuliffe Middle School Concert Band MD,Nick Patsis,1,Admiration Larry Clark,Admiration Larry Clark,,,,LOW
2013-2014,14,Christa McAuliffe Middle School Symphonic Band MC,Nick Patsis,1,Pride of Lions Jared Spears,Pride of Lions Jared Spears,,,,LOW
2013-2014,15,St. Thomas Aquinas High School Concert Band,Richard Bradford,1,Hiland Bennett/Clark,Hiland Bennett,,Clark,,LOW
2013-2014,15,Westglades Middle School Concert Band MD,Christopher Ecklund,1,President's Day Parade (March) Murtha,President's Day Parade (March) Murtha,,,,LOW
2013-2014,16,G. Holmes Braddock Senior High School Wind Ensemble,John Sacca,1,The Fairest of the Fair March Sousa,The Fairest of the Fair March Sousa,,,,LOW
2013-2014,16,Arthur and Polly Mays 6-12 Conservatory of the Arts Symphonic Band,Arthur J. N. Scavella,1,Courage Fillmore/arr. Contorno,Courage Fillmore,,Contorno,,LOW
2013-2014,16,South Dade Senior High School Symphonic Band,Andrew Zweibel,2,On a Hymnsong of Philip BlissOn a Hymnsong of Philip BliDssavid HolsingerHolsinger,On a Hymnsong of Philip BlissOn a Hymnsong of Philip BliDssavid HolsingerHolsinger,,,3,LOW
2013-2014,16,New World School of the Arts Wind Ensemble,Brent A. Mounger,2,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2013-2014,16,New World School of the Arts Wind Ensemble,Brent A. Mounger,3,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2013-2014,18,Golden Gate High School Concert Band,Justin Goff,1,Genius Bennett / Clark,Genius Bennett,,Clark,,LOW
2013-2014,18,Caloosa Middle School Symphonic Band MC,Dr. Daniel R. Davis,1,Mystery Bay Steve Hodges,Mystery Bay Steve Hodges,,,,LOW
2013-2014,18,Caloosa Middle School Symphonic Band MC,Dr. Daniel R. Davis,2,"Stars Asleep, The Break of Day, The Margolis","The Stars Asleep Break of Day, The Margolis",,,1,LOW
2013-2014,19,East Ridge High School Wind Ensemble,Jack Hart,1,The Circus Bee Henry Fillmore/ Robert E. Foster,The Circus Bee Henry Fillmore,,Robert E. Foster,,LOW
2013-2014,19,"Mount Dora Middle School ""Eagle Pride"" Symphonic Band MC",Philip L. Porter,1,Crown of Castile Vinson,Crown of Castile Vinson,,,,LOW
2013-2014,19,Umatilla Middle School Symphonic Band MC,Lindsey Massaro,1,Recognition Larry Clark,Recognition Larry Clark,,,,LOW
2013-2014,20,Key West High School Symphonic Band,Gary Hernandez,1,Project Bennett arr. Clark,Project Bennett,,Clark,,LOW
2013-2014,30,East Ridge High School Wind Ensemble,Jack Hart,1,The Circus Bee Henry Fillmore/ Robert E. Foster,The Circus Bee Henry Fillmore,,Robert E. Foster,,LOW
2013-2014,30,Chipley High School Symphonic Band,Richard L. Davenport,1,Imperial King/Swearingen,Imperial King,,Swearingen,,LOW
2013-2014,30,Golden Gate High School Concert Band,Justin Goff,1,Genius Bennett / Clark,Genius Bennett,,Clark,,LOW
2013-2014,30,New World School of the Arts Wind Ensemble,Brent A. Mounger,2,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2013-2014,30,New World School of the Arts Wind Ensemble,Brent A. Mounger,3,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2013-2014,30,Miami Coral Park Senior High School Wind Ensemble,Mr. Aramis Gonzalez,1,The Black Horse Troop John Philip Sousa,The Black Horse Troop John Philip Sousa,,,,LOW
2014-2015,1,Baker School Concert Band,Tony Chiarito,1,The Billboard Klohr/Balent,The Billboard Klohr,,Balent,,LOW
2014-2015,1,Navarre High School Concert Band,Dean Barrow,1,The High School Cadets Sousa/Byrne,The High School Cadets Sousa,,Byrne,,LOW
2014-2015,1,Booker T. Washington High School Concert,Lawrence Young/ Jennifer Smith,1,American Way King/Swearingen,American Way King,,Swearingen,,LOW
2014-2015,1,Ft. Walton Beach Senior High School Concert Band,Derek Fields and Randy Folsom,2,"Sussex Mummer's Christmas Carol, The Grainger / Simpson",The Sussex Mummer's Christmas Carol Grainger,,Simpson,4,LOW
2014-2015,1,Niceville Senior High School Symphonic Winds,Jeff Adams,1,Man of the Hour Fillmore/ed. Foster,Man of the Hour Fillmore,,Foster,,LOW
2014-2015,2,Freeport Senior High School Concert Band,Michael J. Miller,1,Genius Bennett,Genius Bennett,,,,LOW
2014-2015,2,Mowat Middle School Concert Band MC,Mrs. Michelle Birdwell,1,Hiland Bennett/Clark,Hiland Bennett,,Clark,,LOW
2014-2015,3,Swift Creek Middle School Concert Band MD,Kelly Behnke,1,The Golden Eagle Edmondson,The Golden Eagle Edmondson,,,,LOW
2014-2015,3,Wakulla Middle School Wakulla Middle School Band MC,Rachael Vega,1,Courage Larry Clark,Courage Larry Clark,,,,LOW
2014-2015,3,Lincoln High School Concert Band,Daniel K. Farr,1,Crown of Castile Vinson,Crown of Castile Vinson,,,,LOW
2014-2015,4,Oak View Middle School Concert Band MD,Lori Pirzer,1,Big Circus March Robert E. Foster,Big Circus March Robert E. Foster,,,,LOW
2014-2015,5,Anclote High School Concert Band,Melissa Wight,1,Coast Guards King/Swearingen,Coast Guards King,,Swearingen,,LOW
2014-2015,5,Weeki Wachee High School Wind Ensemble,Jared Benyola,1,Age of Chivalry Meeboer,Age of Chivalry Meeboer,,,,LOW
2014-2015,5,Lecanto High School Concert Band,Aaron Woodfin,1,Loyalty Larry Clark,Loyalty Larry Clark,,,,LOW
2014-2015,5,Thomas E Weightman Middle School TEWMS Intermediate Band MD,Don Scott,1,Radesky March Sweeny,Radesky March Sweeny,,,,LOW
2014-2015,7,H. B. Plant High School Symphonic Band,Brian P. Dell & Emma Haley,1,Manila Bay King,Manila Bay King,,,,LOW
2014-2015,7,Wharton High School Symphonic Band,Jason Allgair,1,Barnum Woods Strommen,Barnum Woods Strommen,,,,LOW
2014-2015,7,Plant City High School Symphonic Band,Jacqueline Worley,1,Coast Guards March King/Swearingen,Coast Guards March King,,Swearingen,,LOW
